text,label
"Hey are we still meeting for lunch tomorrow?",BENIGN
"I'll book the table for one o'clock let me know if that works",BENIGN
"Can you pick up some groceries on your way home?",BENIGN
"Happy birthday! Hope you have a great day",BENIGN
"The weather is really nice today let's go for a walk",BENIGN
"Did you watch the cricket match last night? What a game!",BENIGN
"Mom called she wants us to come over for dinner this Sunday",BENIGN
"I transferred the rent to the landlord this morning",BENIGN
"Please send me the document we discussed in the meeting",BENIGN
"What time does the movie start? Should I book tickets?",BENIGN
"Digital arrest scams are increasing in India",BENIGN
"Yesterday I read about how scammers impersonate police officers",BENIGN
"RBI has issued guidelines about fraud prevention",BENIGN
"My friend was scammed last week someone called pretending to be from the bank",BENIGN
"News report says cyber fraud cases have doubled this year",BENIGN
"Be careful with UPI payments always verify the payee",BENIGN
"Banks never ask for OTP on calls please be aware",BENIGN
"There is a new scam where people claim digital arrest",BENIGN
"I attended a fraud awareness workshop at the office today",BENIGN
"The police warned about new phone scam tactics",BENIGN
"Have you heard about the KYC update scam that's going around?",BENIGN
"My colleague's mother lost money to a fake police call",BENIGN
"Never share your OTP or PIN with anyone not even bank staff",BENIGN
"The government launched a helpline for cyber fraud reporting",BENIGN
"I was reading about AnyDesk scams on the news",BENIGN
"Cyber security experts recommend using two factor authentication",BENIGN
"The new RBI circular talks about UPI fraud prevention measures",BENIGN
"My neighbor got a call from someone claiming to be from income tax",BENIGN
"India today reported that digital arrest scams cost crores annually",BENIGN
"Awareness about online fraud is important for senior citizens",BENIGN
"I am calling from your bank regarding your account",AUTHORITY
"This is the bank official speaking about your savings account",AUTHORITY
"I am a senior officer from the Reserve Bank of India",AUTHORITY
"Sir I am calling from the cyber cell police department",AUTHORITY
"This is income tax department calling about your returns",AUTHORITY
"I am a CBI officer investigating your account",AUTHORITY
"ED officer here we have flagged your transactions",AUTHORITY
"This is customs department your parcel has been seized",AUTHORITY
"I am calling on behalf of the Reserve Bank",AUTHORITY
"Sir this is the telecom authority your number is being misused",AUTHORITY
"Main bank se bol raha hoon aapka account flag hua hai",AUTHORITY
"Police ki taraf se call hai aapke khilaf complaint hai",AUTHORITY
"CBI se bol raha hoon investigation chal rahi hai",AUTHORITY
"Cyber crime se call hai aapka mobile number misuse ho raha hai",AUTHORITY
"Income tax department se notice aaya hai aapke naam",AUTHORITY
"RBI se bol raha hoon aapki KYC verify karni hai",AUTHORITY
"TRAI se baat ho rahi hai aapka sim block hone wala hai",AUTHORITY
"I am the investigating officer assigned to your case",AUTHORITY
"This is a call from the fraud investigation unit of your bank",AUTHORITY
"Sarkari adhikari hoon main aapko inform karna tha",AUTHORITY
"Sir we are from the central bureau this is regarding money laundering",AUTHORITY
"I represent the State Bank of India fraud department",AUTHORITY
"Share the OTP that was just sent to your phone",CREDENTIAL
"Please tell me your OTP for verification",CREDENTIAL
"What is the OTP you received? I need it to process your request",CREDENTIAL
"Please share your UPI PIN so I can verify the transaction",CREDENTIAL
"Can you read out the verification code sent to your number?",CREDENTIAL
"I need your CVV number and expiry date for security check",CREDENTIAL
